ID,Ticker,Name,Exchange,Importance,Category
81,^NSMIDCP,NIFTY NEXT 50,N/A,important,Broad Market
82,MID150.BO,S&P BSE 150 MidCap Index,BSE,normal,Others
83,NIFTY500MOMENTM50.NS,NIFTY500MOMENTM50,NSE,normal,Others
84,NIFTY_CORP_MAATR.NS,NIFTY CORP MAATR,NSE,normal,Others
85,NIFTYALPHA50.NS,NIFTY ALPHA 50,NSE,normal,Others
86,NIFTY_FIN_SERVICE.NS,NIFTY FIN SERVICE,NSE,normal,Sectoral
87,NIFTY_LARGEMID250.NS,NIFTY LARGEMID250,NSE,normal,Others
88,BSE-500.BO,S&P BSE 500 INDEX,BSE,normal,Others
89,NIFTYQUALITY30.NS,NIFTY100 QUALTY30,NSE,normal,Others
90,BSE-PSU.BO,S&P BSE PUBLIC SECTOR INDEX,BSE,normal,Others
91,SS6535.BO,BSE SENSEX SIXTY 65:35,BSE,normal,Others
92,BS1000.BO,BSE 1000,BSE,normal,Others
93,NIFTYMIDCAP150.NS,NIFTY MIDCAP 150,NSE,important,Others
94,^CRSLDX,NIFTY 500,N/A,important,Broad Market
95,QUAL50.BO,BSE 500 QUALITY 50,BSE,normal,Sectoral
96,NIFTY_LOW_VOL_50.NS,NIFTY LOW VOL 50,NSE,normal,Others
97,^CNXFIN,NIFTY FINSRV25 50,NSE,normal,Sectoral
98,NIFTY_TOTAL_MKT.NS,NIFTY TOTAL MKT,NSE,important,Broad Market
99,NIFTYGS15YRPLUS.NS,NIFTY GS 15YRPLUS,NSE,normal,Others
100,NIFTY500_LOWVOL50.NS,NIFTY500 LOWVOL50,NSE,normal,Others
101,NIFTY500_LOWVOL50.NS,NIFTY500 LOWVOL50,NSE,normal,Others
102,^CNXCMDT,NIFTY COMMODITIES,NSE,normal,Sectoral
105,SENEQW.BO,BSE SENSEX EQUAL WEIGHT,BSE,normal,Others
106,NIFTY_TOP_20_EW.NS,NIFTY TOP 20 EW,NSE,normal,Others
107,INSLDR.BO,BSE INDIA SECT LEADER,BSE,normal,Others
108,NIFTY500_MULTICAP.NS,NIFTY500 MULTICAP,NSE,normal,Others
109,NIFTY_TATA_25_CAP.NS,NIFTY TATA 25 CAP,NSE,normal,Others
110,NIFTY_MID_SELECT.NS,NIFTY MID SELECT,NSE,normal,Others
111,^CNXINFRA,NIFTY INFRA,NSE,important,Sectoral
112,NIFTY100_EQL_WGT.NS,NIFTY100 EQL WGT,NSE,normal,Others
113,NIFTY_RURAL.NS,NIFTY RURAL,NSE,normal,Others
114,NIFTYPR1XINV.NS,NIFTY50 PR 1X INV,NSE,normal,Others
115,BHARATBOND-APR30.NS,BHARATBOND-APR30,NSE,normal,Others
116,NIFTY100LOWVOL30.NS,NIFTY100 LOWVOL30,NSE,normal,Others
117,NIFTY500_QLTY50.NS,NIFTY500 QLTY50,NSE,normal,Others
118,MSL400.BO,S&P BSE 400 MidSmallCap Index,BSE,normal,Others
119,NIFTY50EQUALWEIGHT.NS,NIFTY50 EQL WGT,NSE,normal,Others
120,NIFTY500_LMS_EQL.NS,NIFTY500 LMS EQL,NSE,normal,Others
121,200EQW.BO,BSE 200 EQUAL WEIGHT,BSE,normal,Others
122,BHARATBOND-APR33.NS,BHARATBOND-APR33,NSE,normal,Others
123,0P00006FA6.BO,BSE 100 India INR,BSE,normal,Others
124,NIFTY_CHEMICALS.NS,NIFTY CHEMICALS,NSE,normal,Others
125,NIFTY_MULTI_MQ_50.NS,NIFTY MULTI MQ 50,NSE,normal,Others
126,NIFTYTR1XINV.NS,NIFTY50 TR 1X INV,NSE,normal,Others
127,^CNXMNC,NIFTY MNC,NSE,normal,Others
128,NIFTY_HOUSING.NS,NIFTY HOUSING,NSE,normal,Others
129,NIFTYMIDSML400.NS,NIFTY MIDSML 400,NSE,normal,Others
130,BHARATBOND-APR32.NS,BHARATBOND-APR32,NSE,normal,Others
131,SMLSEL.BO,S&P BSE SMALLCAP SELECT INDEX,BSE,normal,Others
132,COMDTY.BO,S&P BSE Commodities,BSE,normal,Sectoral
133,NIFTY_QLTY_LV_30.NS,NIFTY QLTY LV 30,NSE,normal,Others
